page,section,title,description,url,image_url,color,price,live,button_text,emoji
guides,paid,Maternity Leave Money Tracker 🍁,Track your mat leave income and expenses,https://payhip.com/b/Pr9eW,,#C17C74,$14.99,yes,Get Guide →,💰
guides,paid,RESP Growth Calculator 🍁,See how much your RESP grows to age 18,https://payhip.com/b/Bn9X8,,#7D6E8A,$9.99,yes,Get Guide →,📈
guides,free,Newborn Essentials Cost Guide,Plan your baby costs before they arrive,https://payhip.com/b/RwbQk,,#B5763A,Free,yes,Download →,👶
guides,free,Amazon Baby Registry Guide,How to create your registry and save $200-$500,https://payhip.com/b/5rjtz,,#6B8F71,Free,yes,Download →,🛍️
guides,free,Wealthsimple RESP Guide,Open your baby's RESP and get $25 free,https://payhip.com/b/1Vmuo,,#C17C74,Free,yes,Download →,🌱
guides,free,Questrade RESP Guide,Self-directed RESP with $50 in free trades,https://payhip.com/b/ltfOx,,#7D6E8A,Free,yes,Download →,📊
guides,free,EQ Bank HISA Guide,Best high-interest savings in Canada,https://payhip.com/b/nsGfZ,,#B5763A,Free,yes,Download →,🏦
tools,free,EI Maternity Leave Calculator,Enter your salary and get your real mat leave numbers,ei-calculator.html,,#7D6E8A,Free,yes,Try Free →,🧮
tools,free,CCB Calculator,How much Canada Child Benefit will you receive?,#,,#B5763A,Free,no,Coming Soon,👶
tools,free,RESP Growth Calculator,See your RESP grow with government grants,#,,#6B8F71,Free,no,Coming Soon,📈
tools,free,Baby First Year Budget Planner,Plan your first year costs — formula vs breastfeeding,#,,#C17C74,Free,no,Coming Soon,💰
links,referral,Wealthsimple — Get $25,My #1 for TFSA & RRSP. Zero commissions. Get $25 when you sign up.,https://wealthsimple.com/invite/ANL87A,,#C17C74,,yes,Join →,🏦
links,referral,Questrade — Get $50,Low commissions self-directed investing. $50 in free trades.,https://start.questrade.com/?oaa_promo=575913378496897,,#7D6E8A,,yes,Join →,📈
links,referral,EQ Bank — Get $20,Best high-interest savings rates in Canada.,https://join.eqbank.ca/?code=KIRTI5769,,#B5763A,,yes,Join →,💳
links,referral,Rakuten — Get $30,Cashback on almost all major Canadian shopping sites.,https://www.rakuten.ca/referrer?referrerid=ffpJTnnAGCg%3D&src=Link,,#6B8F71,,yes,Join →,💸
links,social,Follow on Instagram,Daily Canadian mom money tips and honest content,https://instagram.com/hermoneyandai,,#C17C74,,yes,Follow →,📸
picks,Mom,HOFISH Nursing Bras 3-Pack,$39.99 — way better than La Vie en Rose,https://amzn.to/4tAjKuJ,https://m.media-amazon.com/images/I/61ttreelzoL._AC_SX679_.jpg,#C17C74,,yes,Shop →,
picks,Mom,Depend Underwear,Postpartum essential — buy the small pack not the giant box,https://amzn.to/4flWFJ9,https://m.media-amazon.com/images/I/81Dn3QsCF-L._AC_SL1500_.jpg,#C17C74,,yes,Shop →,
picks,Mom,Frida Mom 2-in-1 Postpartum Pads,Ice therapy + maternity pad in one,https://amzn.to/4nHcsnH,https://m.media-amazon.com/images/I/71RXM8i7HiL._AC_SL1500_.jpg,#C17C74,,yes,Shop →,
picks,Mom,MomCozy M6 Breast Pump,The breast pump my insurance covered 100%,https://amzn.to/4vUQHVe,https://m.media-amazon.com/images/I/61Q2GM1KZWL._AC_SL1500_.jpg,#C17C74,,yes,Shop →,
picks,Baby Favourites,Chicco Stroller,The stroller I got on Amazon,https://amzn.to/3P6TBWo,https://m.media-amazon.com/images/I/71x8e6EIHML._AC_SL1500_.jpg,#7D6E8A,,yes,Shop →,
picks,Baby Favourites,Dream On Me Crib,The exact crib I got for $100,https://amzn.to/4txKHzl,https://m.media-amazon.com/images/I/71W6OC4jIGL._AC_SL1500_.jpg,#7D6E8A,,yes,Shop →,
picks,Baby Favourites,Dr. Brown's Bottles x5,Anti-colic bottles I swear by,https://amzn.to/4n3gB5m,https://m.media-amazon.com/images/I/71Q5c3XDKYL._AC_SL1500_.jpg,#7D6E8A,,yes,Shop →,
picks,Baby Favourites,Baby Camera (MomCozy),Peace of mind at night,https://amzn.to/42GPUtv,https://m.media-amazon.com/images/I/61LoL8JsXIL._AC_SL1500_.jpg,#7D6E8A,,yes,Shop →,
picks,Baby Favourites,Diaper Genie,Worth every penny,https://amzn.to/3R6Q3nw,https://m.media-amazon.com/images/I/71Q5c3XDKYL._AC_SL1500_.jpg,#7D6E8A,,yes,Shop →,
picks,Eczema Essentials,Aveeno Eczema Care Body Wash,Doctor recommended — fragrance free colloidal oatmeal,https://amzn.to/4f39s30,https://m.media-amazon.com/images/I/61g5NCGNeUL._AC_SL1500_.jpg,#6B8F71,,yes,Shop →,
picks,Eczema Essentials,Aveeno Eczema Daily Cream,Use after every bath — fragrance free steroid free,https://amzn.to/4fBwtKj,https://m.media-amazon.com/images/I/61B2Yzfb+rL._AC_SL1500_.jpg,#6B8F71,,yes,Shop →,
picks,Eczema Essentials,Sudo Cream,Soothes heals and protects — diaper rash essential,https://amzn.to/3RpeZXH,https://m.media-amazon.com/images/I/712s2-TAWzL._AC_SL1500_.jpg,#6B8F71,,yes,Shop →,
