title,description,url,image_url,Major Category,category
HOFISH Nursing Bras 3-Pack,$39.99 — way better than La Vie en Rose,https://amzn.to/4tAjKuJ,https://m.media-amazon.com/images/I/61ttreelzoL._AC_SX679_.jpg,Mom,Postpartum
Depend Underwear,Postpartum essential — buy the small pack not the giant box,https://amzn.to/4flWFJ9,https://m.media-amazon.com/images/I/81Dn3QsCF-L._AC_SL1500_.jpg,Mom,Postpartum
Frida Mom 2-in-1 Postpartum Pads,"Ice therapy + maternity pad in one — a postpartum must",https://amzn.to/4nHcsnH,https://m.media-amazon.com/images/I/71RXM8i7HiL._AC_SL1500_.jpg,Mom,Postpartum
MomCozy M6 Breast Pump,The breast pump my insurance covered 100%,https://amzn.to/4vUQHVe,https://m.media-amazon.com/images/I/61Ki++kjwnL._AC_SL1500_.jpg,Baby Favourites,Feeding
Dr. Brown's Bottles x5,Anti-colic bottles I swear by,https://amzn.to/4n3gB5m,https://m.media-amazon.com/images/I/81wcz2StrhL._AC_SL1500_.jpg,Baby Favourites,Feeding
Bottle Sterilizer & Dryer,Sterilizes and dries in one,https://amzn.to/4cNHjKk,https://m.media-amazon.com/images/I/61apKhGlMvL._AC_SL1500_.jpg,Baby Favourites,Feeding
Bottle Washer Sterilizer Dryer,All-in-one bottle cleaning,https://amzn.to/4tIFcie,https://m.media-amazon.com/images/I/51bYxBVtzSL._AC_SL1500_.jpg,Baby Favourites,Feeding
MomCozy Bottle Cleaning Kit,Keeps everything spotless,https://amzn.to/3OIQfJ3,https://m.media-amazon.com/images/I/71bqO3SugiL._AC_SL1500_.jpg,Baby Favourites,Feeding
Burp Cloths,Soft and actually absorbent,https://amzn.to/4cNFuyt,https://m.media-amazon.com/images/I/71QbS8LyCFL._AC_SL1500_.jpg,Baby Favourites,Feeding
Wash Cloths,Gentle on baby skin,https://amzn.to/3OtXMLO,https://m.media-amazon.com/images/I/81dosMM-NZL._AC_SL1500_.jpg,Baby Favourites,Feeding
Crib,The exact crib I got for $100,https://amzn.to/4txKHzl,https://m.media-amazon.com/images/I/81kWvOtqNtL._AC_SL1500_.jpg,Baby Favourites,Sleep
Baby Camera (MomCozy),Peace of mind at night,https://amzn.to/42GPUtv,https://m.media-amazon.com/images/I/81q-jWjxCdL._AC_SL1500_.jpg,Baby Favourites,Sleep
Crib Bedsheet Set,Soft and easy to wash,https://amzn.to/4vZqtki,https://m.media-amazon.com/images/I/71szZ6NQ+DL._AC_SL1500_.jpg,Baby Favourites,Sleep
Chicco Stroller,The $465 stroller I got on Amazon,https://amzn.to/3P6TBWo,https://m.media-amazon.com/images/I/71pbw0W5wuL._AC_SL1500_.jpg,Baby Favourites,Gear
Graco Stroller,Great budget alternative,https://amzn.to/3OzV9bj,https://m.media-amazon.com/images/I/81TWk9EuziL._AC_SL1500_.jpg,Baby Favourites,Gear
Bouncer,Baby approved,https://amzn.to/3QGzONW,https://m.media-amazon.com/images/I/71u7-Ty1YjL._AC_SL1500_.jpg,Baby Favourites,Gear
Baby Bath Tub,Makes bath time easy,https://amzn.to/4ema2sh,https://m.media-amazon.com/images/I/61ImLymqU+L._AC_SL1500_.jpg,Baby Favourites,Gear
Diaper Genie,Worth every penny,https://amzn.to/3R6Q3nw,https://m.media-amazon.com/images/I/719gffoc4YL._AC_SL1500_.jpg,Baby Favourites,Gear
Waterproof Change Mats,Non-negotiable for every room,https://amzn.to/3Qurxg7,https://m.media-amazon.com/images/I/71qLKmaLuLL._AC_SL1500_.jpg,Baby Favourites,Gear
Skip Hop Baby Activity Center,Great gift that grows with your baby,https://amzn.to/3Rp2hbC,https://m.media-amazon.com/images/I/71r51Ydo5qL._AC_SL1500_.jpg,Baby Favourites,Gear
Nail Clipper Set,Safe and easy to use on newborns,https://amzn.to/4nHv7zI,https://m.media-amazon.com/images/I/71aSO3oSBkL._AC_SL1500_.jpg,Baby Favourites,Gear
Aveeno Eczema Care Body Wash,"Doctor recommended — fragrance free, colloidal oatmeal",https://amzn.to/4f39s30,https://m.media-amazon.com/images/I/61g5NCGNeUL._AC_SL1500_.jpg,Eczema Essentials,Eczema Essentials
Aveeno Eczema Care Daily Moisturizing Cream,"Fragrance free, steroid free — use after every bath",https://amzn.to/4fBwtKj,https://m.media-amazon.com/images/I/61B2Yzfb+rL._AC_SL1500_.jpg,Eczema Essentials,Eczema Essentials
Aveeno Soothing Bath Treatment,"8-pack oatmeal bath — doctor recommended for eczema flare ups",https://amzn.to/43oEwmt,https://m.media-amazon.com/images/I/71mEcivcWgL._AC_SL1500_.jpg,Eczema Essentials,Eczema Essentials
Sudo Cream,"Diaper rash cream — soothes, heals and protects",https://amzn.to/3RpeZXH,https://m.media-amazon.com/images/I/712s2-TAWzL._AC_SL1500_.jpg,Eczema Essentials,Eczema Essentials
Baby Fruit Food Feeder,"Silicone teething mitten with freezer tray — BPA free, 3 months+",https://amzn.to/4nPWIiy,https://m.media-amazon.com/images/I/71NgqD0j4IL._AC_SL1500_.jpg,Baby Favourites,Teething
4 Pack Stainless Steel Baby Bowls with Suction,"Non-toxic, anti-scald suction bowls for starting solids",https://amzn.to/4tVpnnA,https://m.media-amazon.com/images/I/715CgQrZlVL._AC_SL1500_.jpg,Baby Favourites,Solids
